method,repetition,elapsed_ms
Receive-NSI,34,0.8611840009689331
Receive-NSI,35,0.7874559760093689
Receive-NSI,36,0.7137280106544495
Receive-NSI,37,0.7219200134277344
Receive-NSI,38,0.7393280267715454
Receive-NSI,39,0.7331839799880981
Receive-NSI,40,0.7598080039024353
Receive-NSI,41,0.7229440212249756
Receive-NSI,42,0.7096319794654846
Receive-NSI,43,0.8007680177688599
Receive-NSI,44,0.7639039754867554
Receive-NSI,45,0.7536640167236328
Receive-NSI,46,0.7444480061531067
Receive-NSI,47,0.8294399976730347
Receive-NSI,48,0.8181759715080261
Receive-NSI,49,0.7403519749641418
Receive-NSI,50,0.7055360078811646
Angle-NSI,1,0.3962880074977875
Angle-NSI,2,0.37068799138069153
Angle-NSI,3,0.3491840064525604
Angle-NSI,4,0.35020801424980164
Angle-NSI,5,0.3399679958820343
Angle-NSI,6,0.37785598635673523
Angle-NSI,7,0.36556801199913025
Angle-NSI,8,0.35020801424980164
Angle-NSI,9,0.35020801424980164
Angle-NSI,10,0.34508800506591797
Angle-NSI,11,0.3604480028152466
Angle-NSI,12,0.3481599986553192
Angle-NSI,13,0.3532800078392029
Angle-NSI,14,0.3911679983139038
Angle-NSI,15,0.3563520014286041
Angle-NSI,16,0.5171200037002563
Angle-NSI,17,0.5857279896736145
Angle-NSI,18,0.5509120225906372
Angle-NSI,19,0.5836799740791321
Angle-NSI,20,0.5058559775352478
Angle-NSI,21,0.6932479739189148
Angle-NSI,22,0.591871976852417
Angle-NSI,23,0.5150719881057739
Angle-NSI,24,0.567296028137207
Angle-NSI,25,0.47308799624443054
Angle-NSI,26,0.5232639908790588
Angle-NSI,27,0.47513601183891296
Angle-NSI,28,0.48844799399375916
Angle-NSI,29,0.45772799849510193
Angle-NSI,30,0.5048320293426514
Angle-NSI,31,0.4638719856739044
Angle-NSI,32,0.49663999676704407
Angle-NSI,33,0.5140479803085327
Angle-NSI,34,0.5120000243186951
Angle-NSI,35,0.49663999676704407
Angle-NSI,36,0.45875200629234314
Angle-NSI,37,0.5038080215454102
Angle-NSI,38,0.4689919948577881
Angle-NSI,39,0.4761599898338318
Angle-NSI,40,0.4986880123615265
Angle-NSI,41,0.5222399830818176
Angle-NSI,42,0.5017600059509277
Angle-NSI,43,0.47513601183891296
Angle-NSI,44,0.5642240047454834
Angle-NSI,45,0.5109760165214539
Angle-NSI,46,0.45158401131629944
Angle-NSI,47,0.45977601408958435
Angle-NSI,48,0.48844799399375916
Angle-NSI,49,0.48127999901771545
Angle-NSI,50,0.4689919948577881
