scenario_type,scenario_label,angular_weight_strategy,angular_weight_sum,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error,removed_angle_deg,angular_weight_l1_norm
angle_count,17 angles,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,,,
angle_count,17 angles,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2671.8544921875,6.070832168657264,52.87129152509827,0.11595492502846433,0.17584034134768844,0.28936837755388345,296.8446080728803,0.00039062499999998473,,,
angle_count,25 angles,sign(angle),0.0,25,-4.0,4.0,8.0,20.1,DAS,True,0.00078125,0.00078125,6939.15478515625,,,0.2619617496609163,0.31997952195354357,0.40380941695948747,670.6220791319719,0.00039062499999998473,,,
angle_count,25 angles,sign(angle),0.0,25,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,346.9102478027344,0.03725718396532541,79.3801420590607,0.01058973851441557,0.0199886602928557,0.06599334550034153,27.10973059690492,0.00039062499999998473,,,
angle_count,25 angles,sign(angle),0.0,25,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,346.9469299316406,0.3735240311667273,59.358890017756714,0.24138219178479425,0.30734397315223094,0.39223262491398936,617.9384109690974,0.00039062499999998473,,,
angle_span,4 deg total span,sign(angle),0.0,17,-2.0,2.0,4.0,20.1,DAS,True,0.0,0.0,10343.3544921875,,,0.27090801943157383,0.3354284772584119,0.4433453237924314,693.5245297448561,0.00039062499999998473,,,
angle_span,4 deg total span,sign(angle),0.0,17,-2.0,2.0,4.0,20.1,Conventional NSI,True,0.0,0.0,517.1104125976562,0.2941216733904741,64.90112509325695,0.01083224728941106,0.02043642593337975,0.06728830001274605,27.7305530608934,0.00039062499999998473,,,
angle_span,4 deg total span,sign(angle),0.0,17,-2.0,2.0,4.0,20.1,Angular NSI,True,0.0,0.0,517.1578979492188,1.2150388454327894,52.58065997527372,0.19717576709309492,0.26586332924114464,0.3664565679049293,504.7699637583427,0.00039062499999998473,,,
angle_span,8 deg total span,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.4453125,489.5172508311495,40.761553729128664,0.22583706239931722,0.2820058969681124,0.5243583409268576,578.1428797422747,0.00039062499999998473,,,
angle_span,8 deg total span,sign(angle),0.0,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2671.673583984375,0.13801952320384245,85.73685747280074,0.008978267001653516,0.0169533689600971,0.05598056879039014,22.9843635242339,0.00039062499999998473,,,
