perturbation_type,noise_snr_db,phase_jitter_sd_deg,realization,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error
noise,40.0,0.0,4,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2662.96044921875,0.1385002126384803,85.67828552188723,0.009027805780417217,0.017020714643167605,0.05614662149150592,23.111182797868977,0.00039062499999998473,
noise,40.0,0.0,4,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2670.490966796875,6.064764333341873,52.87554367388124,0.11600422786779926,0.17564687348395136,0.28906463581219155,296.9708233415777,0.00039062499999998473,
noise,40.0,0.0,5,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53435.609375,491.6832811234078,40.72290650670094,0.22586569843306448,0.2820414437819798,0.5243039728959277,578.2161879886677,0.00039062499999998473,
noise,40.0,0.0,5,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2661.47705078125,0.13783600821144845,85.71520076891105,0.009035685618308122,0.01703209180239864,0.05618224247190981,23.131355182869694,0.00039062499999998473,
noise,40.0,0.0,5,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2669.4189453125,6.069754159811696,52.86491273963671,0.11613044943948032,0.17608900612993655,0.2892733925663219,297.2939505650813,0.00039062499999998473,
noise,40.0,0.0,6,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.55859375,489.81820659622394,40.7562336882009,0.22583528696707988,0.2820080888073133,0.5246049498093519,578.1383346357471,0.00039062499999998473,
noise,40.0,0.0,6,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2664.003662109375,0.13817040065714636,85.70239601154044,0.009020167150365736,0.01700990207104763,0.05612234762726159,23.091627904937187,0.00039062499999998473,
noise,40.0,0.0,6,17,-4.0,4.0,8.0,20.1,Angular NSI,True,-0.000390625,-0.000390625,2664.32861328125,6.021612702590067,52.917499393907086,0.11615223958514923,0.17596299409050792,0.2895282800969625,297.34973333799365,0.00039062499999998473,
noise,40.0,0.0,7,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.33984375,489.6613986003156,40.75897923514742,0.2258569067322615,0.2820374421453523,0.5243856629158254,578.1936812346121,0.00039062499999998473,
noise,40.0,0.0,7,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2667.65087890625,0.13830011819750118,85.70612881304004,0.009000301420068212,0.016983389048519794,0.05605758680251213,23.04077163537552,0.00039062499999998473,
noise,40.0,0.0,7,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2667.265625,6.0494985818182725,52.8869377735862,0.11614919286797326,0.17600755487906658,0.28941400038836906,297.3419337420232,0.00039062499999998473,
noise,40.0,0.0,8,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53439.01171875,489.9238745325797,40.754596284761206,0.22585115634059283,0.28200958251878294,0.5244827402842511,578.1789602319402,0.00039062499999998473,
noise,40.0,0.0,8,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2665.053466796875,0.13778572370944792,85.73003409355178,0.009015440523034296,0.017004186388042485,0.05611088770679117,23.0795277389687,0.00039062499999998473,
noise,40.0,0.0,8,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2662.928955078125,6.038400500551729,52.88875330922042,0.11668504357851933,0.17654435479211006,0.28982353558572493,298.71371156102117,0.00039062499999998473,
noise,40.0,0.0,9,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53440.75390625,489.7470661542141,40.75801466452326,0.22584473780027398,0.28199546982878265,0.5242807863949577,578.162528768724,0.00039062499999998473,
noise,40.0,0.0,9,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2667.19091796875,0.13804579166966627,85.7206186395523,0.009001991435295089,0.016984698771367324,0.05605919506304681,23.04509807435633,0.00039062499999998473,
noise,40.0,0.0,9,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2667.096923828125,6.065773605731019,52.86305202965409,0.11624860864529271,0.17607857482538586,0.2893695928963083,297.59643813196095,0.00039062499999998473,
noise,40.0,0.0,10,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53437.70703125,491.2589028582798,40.73074761338917,0.22582115336620584,0.2819878028139161,0.5244273010112512,578.1021526175095,0.00039062499999998473,
noise,40.0,0.0,10,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2665.91552734375,0.13788461425372056,85.726611513909,0.009008005691239905,0.016992630790952618,0.05607780577854314,23.06049456957506,0.00039062499999998473,
noise,40.0,0.0,10,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2668.730224609375,6.049341632733489,52.89193125074459,0.11607729927357972,0.17609392734462764,0.2896783790941098,297.1578861403757,0.00039062499999998473,
noise,30.0,0.0,1,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53439.57421875,496.768357404367,40.63418128766568,0.22572884168464855,0.28191022995958065,0.5241363035156745,577.8658347127229,0.00039062499999998473,
noise,30.0,0.0,1,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2657.411376953125,0.1377440327414437,85.70771992552852,0.009054264398314795,0.017056002987563008,0.05623916195536189,23.178916859686783,0.00039062499999998473,
noise,30.0,0.0,1,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.00078125,0.00078125,2664.74072265625,6.132446092483204,52.76042439335103,0.11540617044496601,0.17522217392119432,0.28878454812872656,295.43979633912454,0.00039062499999998473,
noise,30.0,0.0,2,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53450.87109375,507.7017012973357,40.44692337242198,0.2258713644899111,0.2820910865563071,0.5243648659547944,578.230693094195,0.00039062499999998473,
noise,30.0,0.0,2,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2668.07666015625,0.13782743244735515,85.73725275734274,0.008998340648662784,0.016980624900550828,0.056059545030173435,23.035752060577625,0.00039062499999998473,
noise,30.0,0.0,2,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.000390625,0.000390625,2656.579833984375,6.051005787856523,52.849906065309966,0.11704360198801753,0.17712277901282697,0.2895374144240146,299.6316210893366,0.00039062499999998473,
