repetition,order_within_repetition,method,elapsed_seconds,elapsed_milliseconds
8,2,Conventional NSI (two fields),0.03282463800860569,32.82463800860569
8,3,Angular NSI (streaming),0.025036264007212594,25.036264007212594
8,4,DAS / coherent compounding,0.022785773006035015,22.785773006035015
9,1,Conventional NSI (two fields),0.03135084798850585,31.350847988505848
9,2,DAS / coherent compounding,0.026805663990671746,26.805663990671746
9,3,Angular NSI (stored angle stack),0.02533061199937947,25.33061199937947
9,4,Angular NSI (streaming),0.024407043994870037,24.407043994870037
10,1,Angular NSI (stored angle stack),0.02454137901077047,24.54137901077047
10,2,Angular NSI (streaming),0.026419556990731508,26.419556990731508
10,3,Conventional NSI (two fields),0.032376224000472575,32.376224000472575
10,4,DAS / coherent compounding,0.023351190000539646,23.351190000539646
11,1,Angular NSI (streaming),0.02408275500056334,24.08275500056334
11,2,Angular NSI (stored angle stack),0.0238706530071795,23.8706530071795
11,3,Conventional NSI (two fields),0.030895992007572204,30.895992007572204
11,4,DAS / coherent compounding,0.024323092002305202,24.323092002305202
12,1,Conventional NSI (two fields),0.03275239000504371,32.75239000504371
12,2,Angular NSI (streaming),0.024365417993976735,24.365417993976735
12,3,Angular NSI (stored angle stack),0.024904587990022264,24.904587990022264
12,4,DAS / coherent compounding,0.022553918999619782,22.553918999619782
13,1,Conventional NSI (two fields),0.030186703996150754,30.186703996150754
13,2,Angular NSI (streaming),0.02483169200422708,24.83169200422708
13,3,Angular NSI (stored angle stack),0.02593185599835124,25.93185599835124
13,4,DAS / coherent compounding,0.02267650001158472,22.67650001158472
14,1,Angular NSI (stored angle stack),0.02342148900788743,23.42148900788743
14,2,Angular NSI (streaming),0.026793122000526637,26.793122000526637
14,3,Conventional NSI (two fields),0.030331764006405137,30.331764006405137
14,4,DAS / coherent compounding,0.024082065996481106,24.082065996481106
15,1,DAS / coherent compounding,0.024525985994841903,24.525985994841903
15,2,Angular NSI (stored angle stack),0.025290315999882296,25.290315999882296
15,3,Conventional NSI (two fields),0.031092208009795286,31.092208009795286
15,4,Angular NSI (streaming),0.023724029990262352,23.724029990262352
16,1,Conventional NSI (two fields),0.029726884997216985,29.726884997216985
16,2,Angular NSI (stored angle stack),0.02359692900790833,23.59692900790833
16,3,DAS / coherent compounding,0.02605502500955481,26.05502500955481
16,4,Angular NSI (streaming),0.024741931003518403,24.741931003518403
17,1,Conventional NSI (two fields),0.03138771900557913,31.38771900557913
17,2,Angular NSI (streaming),0.023914870995213278,23.914870995213278
17,3,DAS / coherent compounding,0.02454368700273335,24.54368700273335
17,4,Angular NSI (stored angle stack),0.023530067002866417,23.530067002866417
18,1,Conventional NSI (two fields),0.029974563003634103,29.974563003634103
18,2,Angular NSI (stored angle stack),0.02555370501067955,25.55370501067955
18,3,Angular NSI (streaming),0.024739714004681446,24.739714004681446
18,4,DAS / coherent compounding,0.02273310201417189,22.73310201417189
19,1,Angular NSI (stored angle stack),0.024446775001706555,24.446775001706555
19,2,Angular NSI (streaming),0.02576576400315389,25.76576400315389
19,3,Conventional NSI (two fields),0.03044388299167622,30.44388299167622
19,4,DAS / coherent compounding,0.02337561099557206,23.37561099557206
20,1,DAS / coherent compounding,0.02599902800284326,25.99902800284326
20,2,Conventional NSI (two fields),0.028834299999289215,28.834299999289215
20,3,Angular NSI (streaming),0.0235974039969733,23.5974039969733
20,4,Angular NSI (stored angle stack),0.023597359991981648,23.597359991981648
21,1,Angular NSI (streaming),0.02605571399908513,26.05571399908513
21,2,Angular NSI (stored angle stack),0.025282720001996495,25.282720001996495
21,3,Conventional NSI (two fields),0.029375384998274967,29.375384998274967
21,4,DAS / coherent compounding,0.022058748989365995,22.058748989365995
22,1,Angular NSI (streaming),0.024401478993240744,24.401478993240744
22,2,DAS / coherent compounding,0.02415932899748441,24.15932899748441
22,3,Conventional NSI (two fields),0.029177743010222912,29.177743010222912
22,4,Angular NSI (stored angle stack),0.022886491002282128,22.886491002282128
23,1,Angular NSI (stored angle stack),0.023789254992152564,23.789254992152564
23,2,Conventional NSI (two fields),0.029286910998052917,29.286910998052917
23,3,DAS / coherent compounding,0.023669505986617878,23.669505986617878
23,4,Angular NSI (streaming),0.022983720002230257,22.983720002230257
24,1,Angular NSI (stored angle stack),0.024540019003325142,24.540019003325142
24,2,DAS / coherent compounding,0.023546299009467475,23.546299009467475
24,3,Conventional NSI (two fields),0.030169637000653893,30.169637000653893
